name,category,cost,currency,billingFrequency,paymentMethod,startDate,renewalType,trialEndDate,status,alertBeforeDays,notes
"Netflix Premium","Entertainment","22.99","USD","Monthly","Credit Card","2025-02-14","Automatic","","Active","3","Shared with family and used weekly"
"Spotify Family","Music","17.99","USD","Monthly","Paypal","2024-08-01","Automatic","","Active","5","Family plan with 6 seats"
"Adobe Creative Cloud","Software","59.99","USD","Monthly","Credit Card","2025-01-10","Automatic","","Active","7","Used for design and video editing"
"Notion Plus","Productivity","12.00","USD","Monthly","Credit Card","2025-03-03","Automatic","","Active","2","Personal workspace and project planning"
"Amazon Prime","Shopping","139.00","USD","Yearly","Credit Card","2024-11-21","Automatic","","Active","14","Prime shipping plus video"
"Google One 2TB","Web Services","99.99","USD","Yearly","Debit Card","2024-09-17","Automatic","","Active","10","Cloud storage backup plan"
"ChatGPT Plus","Productivity","20.00","USD","Monthly","Credit Card","2025-04-01","Automatic","","Active","3","Testing AI workflows"
"Canva Pro","Software","14.99","USD","Monthly","Debit Card","2025-02-27","Automatic","","Paused","5","Paused while using Figma more often"
"Duolingo Super","Education","83.99","USD","Yearly","Paypal","2024-12-05","Automatic","","Active","7","Language learning subscription"
"Disney+","Entertainment","15.99","USD","Monthly","Credit Card","2025-03-12","Automatic","","Cancelled","3","Cancelled after price increase"
"Dropbox Essentials","Web Services","19.99","USD","Monthly","Bank Transfer","2025-01-22","Manual","","Active","5","Manual renewal for freelance work"
"Figma Professional","Software","15.00","USD","Monthly","Credit Card","2025-03-28","Trial","2026-04-18","Active","2","Currently in trial to evaluate team features"
"Headspace","Health & Fitness","12.99","USD","Monthly","Credit Card","2025-02-06","Automatic","","Active","4","Meditation app used in mornings"
"Gym Membership","Health & Fitness","49.99","USD","Monthly","Debit Card","2024-10-01","Automatic","","Paused","7","Paused while recovering from injury"
"Domain Hosting","Web Services","18.00","USD","Yearly","Credit Card","2024-07-19","Automatic","","Active","14","Personal portfolio domain"
